date,date,ML,Low_75,High_75,cases,smoothed,fcst,prd_ets,s,i,r
2020-05-22,2020-05-22,,,,,,1.0,0.6935511685892164,18656.992550493105,96.9004430470112,1229.1070064598916
2020-05-23,2020-05-23,,,,,,1.0,0.6857523776883567,18654.63356665581,92.33796666666152,1236.0284666775353
2020-05-24,2020-05-24,,,,,,1.0,0.6781719368669852,18652.44159363616,87.93437063869739,1242.624035725154
2020-05-25,2020-05-25,,,,,,1.0,0.6708037327726835,18650.40646069784,83.68847710282299,1248.9050621993467
2020-05-26,2020-05-26,,,,,,1.0,0.6636418232143075,18648.518479833074,79.59870960310082,1254.882810563834
2020-05-27,2020-05-27,,,,,,1.0,0.6566804323698243,18646.768434937323,75.6631323843459,1260.5684326783412
2020-05-28,2020-05-28,,,,,,1.0,0.6499139461283192,18645.147569971203,71.87948789444144,1265.972942134366
2020-05-29,2020-05-29,,,,,,1.0,0.6433369075624177,18643.647576278436,68.24523245189076,1271.1071912696832
2020-05-30,2020-05-30,,,,,,1.0,0.6369440125274708,18642.260579215086,64.75757005438969,1275.9818507305326
2020-05-31,2020-05-31,,,,,,1.0,0.6307301053839528,18640.979124232315,61.41348431898877,1280.6073914487033
2020-06-01,2020-06-01,,,,,,1.0,0.6246901748396239,18639.79616254235,58.20976855759834,1284.9940689000596
2020-06-02,2020-06-02,,,,,,1.0,0.6188193499081037,18638.705036485433,55.14305400325573,1289.1519095113165
2020-06-03,2020-06-03,,,,,,1.0,0.613112895980596,18637.699464704216,52.20983621281091,1293.0906990829776
2020-06-04,2020-06-04,,,,,,1.0,0.6075662110075977,18636.77352722124,49.4064996805832,1296.8199730981785
2020-06-05,2020-06-05,,,,,,1.0,0.6021748217875108,18635.921650505166,46.729340705187965,1300.3490087896487
2020-06-06,2020-06-06,,,,,,1.0,0.5969343803591679,18635.13859260177,44.174588558216456,1303.6868188400192
2020-06-07,2020-06-07,,,,,,1.0,0.5918406604953568,18634.419428396963,41.73842500886285,1306.8421465941776
2020-06-08,2020-06-08,,,,,,1.0,0.5868895542945216,18633.75953507075,39.41700226301568,1309.8234626662393
2020-06-09,2020-06-09,,,,,,1.0,0.5820770688678869,18633.15457779327,37.20645937885,1312.6389628278832
2020-06-10,2020-06-10,,,,,,1.0,0.5773993231193382,18632.60049570712,35.10293722365228,1315.2965670692297
2020-06-11,2020-06-11,,,,,,1.0,0.5728525446154565,18632.09348823338,33.102592038560246,1317.803919728062
2020-06-12,2020-06-12,,,,,,1.0,0.5684330665431877,18631.630001732865,31.201607679177403,1320.1683905879593
